"","rules","support","confidence","coverage","lift","count"
"1","{A19} => {A20}",0.00545242653791726,0.398176291793313,0.0136934987097311,20.097864677786,131
"2","{A20} => {A19}",0.00545242653791726,0.275210084033613,0.0198118704736535,20.097864677786,131
"3","{B22} => {B21}",0.00549404811454258,0.352,0.015608091234496,10.7460635324015,132
"4","{B21} => {B22}",0.00549404811454258,0.167725540025413,0.0327561808041289,10.7460635324015,132
"5","{B22} => {B27}",0.00520269707816532,0.333333333333333,0.015608091234496,8.97832585949178,125
"6","{B27} => {B22}",0.00520269707816532,0.140134529147982,0.0371264463497877,8.97832585949178,125
"7","{B22} => {B11}",0.00578539915091984,0.370666666666667,0.015608091234496,6.22336641043559,139
"8","{B11} => {B22}",0.00578539915091984,0.0971348707197764,0.0595604761508366,6.22336641043559,139
"9","{B22} => {B24}",0.00578539915091984,0.370666666666667,0.015608091234496,5.42035138973423,139
"10","{B24} => {B22}",0.00578539915091984,0.0846013390139988,0.068384250395405,5.42035138973423,139
"11","{B22} => {B10}",0.00699242487305419,0.448,0.015608091234496,4.45699710144928,168
"12","{B10} => {B22}",0.00699242487305419,0.0695652173913043,0.100516107550154,4.45699710144928,168
"13","{A25} => {A41}",0.00570215599766919,0.410179640718563,0.0139016065928577,14.8866707672269,137
"14","{A41} => {A25}",0.00570215599766919,0.206948640483384,0.0275534837259635,14.8866707672269,137
"15","{A25} => {A31}",0.00674269541330226,0.48502994011976,0.0139016065928577,10.2043164109609,162
"16","{A31} => {A25}",0.00674269541330226,0.141856392294221,0.0475318405061184,10.2043164109609,162
"17","{A27} => {A41}",0.00503621077166403,0.31025641025641,0.0162324148838758,11.2601518320552,121
"18","{A41} => {A27}",0.00503621077166403,0.182779456193353,0.0275534837259635,11.2601518320552,121
"19","{A27} => {A31}",0.00657620910680097,0.405128205128205,0.0162324148838758,8.52330145044681,158
"20","{A31} => {A27}",0.00657620910680097,0.138353765323993,0.0475318405061184,8.52330145044681,158
"21","{A27} => {A4}",0.00740864063930742,0.456410256410256,0.0162324148838758,4.9306262682162,178
"22","{A4} => {A27}",0.00740864063930742,0.0800359712230216,0.0925663864147174,4.9306262682162,178
