"","rules","support","confidence","lift","itemset"
"1","{P41} => {P1}",0.00524431865479064,0.388888888888889,4.12332058448563,1
"2","{P1} => {P41}",0.00524431865479064,0.0556045895851721,4.12332058448563,1
"3","{A20} => {A19}",0.00545242653791726,0.275210084033613,20.097864677786,2
"4","{A19} => {A20}",0.00545242653791726,0.398176291793313,20.097864677786,2
"5","{A41} => {A25}",0.00570215599766919,0.206948640483384,14.8866707672269,3
"6","{A25} => {A41}",0.00570215599766919,0.410179640718563,14.8866707672269,3
"7","{A31} => {A25}",0.00674269541330226,0.141856392294221,10.2043164109609,4
"8","{A25} => {A31}",0.00674269541330226,0.48502994011976,10.2043164109609,4
"9","{P65} => {P15}",0.00561891284441855,0.402985074626866,7.17194029850746,5
"10","{P15} => {P65}",0.00561891284441855,0.1,7.17194029850746,5
"11","{P72} => {P1}",0.00549404811454258,0.368715083798883,3.90942127244129,6
"12","{P1} => {P72}",0.00549404811454258,0.058252427184466,3.90942127244129,6
"13","{P39} => {P37}",0.00570215599766919,0.20326409495549,13.6414054340799,7
"14","{P37} => {P39}",0.00570215599766919,0.38268156424581,13.6414054340799,7
"15","{P6} => {P37}",0.00532756180804129,0.0912330719885959,6.12280946256426,8
"16","{P37} => {P6}",0.00532756180804129,0.357541899441341,6.12280946256426,8
"17","{P37} => {P1}",0.00545242653791726,0.365921787709497,3.87980444461976,9
"18","{P1} => {P37}",0.00545242653791726,0.057811120917917,3.87980444461976,9
"19","{P29} => {P26}",0.0060767501872971,0.405555555555556,18.010864653933,10
"20","{P26} => {P29}",0.0060767501872971,0.269870609981516,18.010864653933,10
"21","{P82} => {P29}",0.00628485807042371,0.227752639517345,15.1999581028993,11
"22","{P29} => {P82}",0.00628485807042371,0.419444444444444,15.1999581028993,11
"23","{P49} => {P19}",0.00578539915091984,0.230897009966777,15.1987166067446,12
"24","{P19} => {P49}",0.00578539915091984,0.380821917808219,15.1987166067446,12
"25","{P19} => {P1}",0.00615999334054774,0.405479452054795,4.29922741176897,13
"26","{P1} => {P19}",0.00615999334054774,0.0653133274492498,4.29922741176897,13
"27","{B21} => {B20}",0.00753350536918338,0.229987293519695,15.0154204187614,14
"28","{B20} => {B21}",0.00753350536918338,0.491847826086957,15.0154204187614,14
"29","{B20} => {B19}",0.00520269707816532,0.339673913043478,8.43950923969246,15
"30","{B19} => {B20}",0.00520269707816532,0.129265770423992,8.43950923969246,15
"31","{B26} => {B20}",0.00599350703404645,0.127886323268206,8.34944783380956,16
"32","{B20} => {B26}",0.00599350703404645,0.391304347826087,8.34944783380956,16
"33","{B31} => {B20}",0.00503621077166403,0.0971107544141252,6.34017115639612,17
"34","{B20} => {B31}",0.00503621077166403,0.328804347826087,6.34017115639612,17
"35","{B23} => {B20}",0.00536918338466661,0.103365384615385,6.74852372491639,18
"36","{B20} => {B23}",0.00536918338466661,0.35054347826087,6.74852372491639,18
"37","{B24} => {B20}",0.00732539748605677,0.107121119902617,6.99372833364207,19
"38","{B20} => {B24}",0.00732539748605677,0.478260869565217,6.99372833364207,19
"39","{B20} => {B13}",0.00599350703404645,0.391304347826087,5.2522224921059,20
"40","{B13} => {B20}",0.00599350703404645,0.0804469273743017,5.2522224921059,20
"41","{B20} => {B10}",0.00678431698992758,0.442934782608696,4.40660500495094,21
"42","{B10} => {B20}",0.00678431698992758,0.0674948240165631,4.40660500495094,21
"43","{P51} => {P48}",0.00624323649379839,0.407608695652174,12.9883375619882,22
"44","{P48} => {P51}",0.00624323649379839,0.19893899204244,12.9883375619882,22
"45","{P51} => {P1}",0.00532756180804129,0.347826086956522,3.68793890786293,23
"46","{P1} => {P51}",0.00532756180804129,0.0564872021182701,3.68793890786293,23
"47","{B22} => {B21}",0.00549404811454258,0.352,10.7460635324015,24
"48","{B21} => {B22}",0.00549404811454258,0.167725540025413,10.7460635324015,24
"49","{B27} => {B22}",0.00520269707816532,0.140134529147982,8.97832585949178,25
"50","{B22} => {B27}",0.00520269707816532,0.333333333333333,8.97832585949178,25
"51","{B22} => {B11}",0.00578539915091984,0.370666666666667,6.22336641043559,26
"52","{B11} => {B22}",0.00578539915091984,0.0971348707197764,6.22336641043559,26
"53","{B24} => {B22}",0.00578539915091984,0.0846013390139988,5.42035138973423,27
"54","{B22} => {B24}",0.00578539915091984,0.370666666666667,5.42035138973423,27
"55","{B22} => {B10}",0.00699242487305419,0.448,4.45699710144928,28
"56","{B10} => {B22}",0.00699242487305419,0.0695652173913043,4.45699710144928,28
"57","{P82} => {P78}",0.00545242653791726,0.197586726998492,12.5256430154769,29
"58","{P78} => {P82}",0.00545242653791726,0.345646437994723,12.5256430154769,29
